timestamp,vhdxGB,modelsGB,drive_D_freePct,drive_K_freePct,drive_P_freePct,dockerImagesCount
2025-08-13T04:58:48,1.23,0,99.9,25.01,99.8,0
2025-08-13T04:59:15,1.17,0,99.9,25.01,99.8,0
2025-08-13T04:59:42,1.23,0,99.9,25.01,99.8,0
2025-08-13T05:00:06,1.17,0,99.9,25.01,99.8,0
2025-08-13T05:01:37,1.45,0,99.89,25.01,99.8,0
2025-08-13T05:02:07,1.17,0,99.9,25.01,99.8,0
2025-08-13T05:02:43,1.23,0,99.9,25.01,99.8,0
2025-08-13T05:03:08,1.17,0,99.9,25.01,99.8,0
